source_row,sport_name,course_code,status
281,shuttlecock,PED1112,mapped
325,地壶,PED1104,mapped
326,飞盘,PED1105,mapped
328,排球,PED1121,mapped
329,匹克球,PED1110,mapped
330,手球,PED1107,mapped
331,蛙泳,PED1114,mapped
332,跆拳道,PED1117,mapped
333,飞盘,PED1105,mapped
