courseCode,instructor,term,school
ENG1002,"GAN, Linhan",历史评价（学期未注明）,人文社科学院
ENG1002,"Guo, Xin",历史评价（学期未注明）,人文社科学院
ENG1002,"Hou, Shuozhao",历史评价（学期未注明）,人文社科学院
ENG1002,"James, Kalanipua Armitage",历史评价（学期未注明）,人文社科学院
ENG1002,Liu Liming,历史评价（学期未注明）,人文社科学院
ENG1002,Liu Yingxin,历史评价（学期未注明）,人文社科学院
ENG1002,"Nie, Yilu",历史评价（学期未注明）,人文社科学院
ENG1002,"PANG, Hui",历史评价（学期未注明）,人文社科学院
ENG1002,"Wang, Kaixi",历史评价（学期未注明）,人文社科学院
ENG1002,"Xiao, Yang",历史评价（学期未注明）,人文社科学院
ENG1002,Yang Yang,历史评价（学期未注明）,人文社科学院
ENG1002,"Yang, Rong",历史评价（学期未注明）,人文社科学院
ENG1002,"Yang, Wenhao",历史评价（学期未注明）,人文社科学院
ENG1002,"Ying, Jia",历史评价（学期未注明）,人文社科学院
ENG1002,"Zhao, Ziwei",历史评价（学期未注明）,人文社科学院
ENG2001,未注明教师,历史评价（学期未注明）,人文社科学院
ENG2001,Charlie,历史评价（学期未注明）,人文社科学院
ENG2001,Colum Ruane,历史评价（学期未注明）,人文社科学院
ENG2001,Gong Wengao,历史评价（学期未注明）,人文社科学院
ENG2001,Hong Mingyan,历史评价（学期未注明）,人文社科学院
ENG2001,hyun jung Joo,历史评价（学期未注明）,人文社科学院
ENG2001,"JI, Zuowei",历史评价（学期未注明）,人文社科学院
ENG2001,Li，Mo,历史评价（学期未注明）,人文社科学院
ENG2001,lianghuiling,历史评价（学期未注明）,人文社科学院
ENG2001,Liuying,历史评价（学期未注明）,人文社科学院
ENG2001,Matthew Book,历史评价（学期未注明）,人文社科学院
ENG2001,Prerna Bakshi,历史评价（学期未注明）,人文社科学院
ENG2001,Shirley,历史评价（学期未注明）,人文社科学院
ENG2001,Wang Feiya,历史评价（学期未注明）,人文社科学院
ENG2001,xiaosichen,历史评价（学期未注明）,人文社科学院
ENG2001,xiaoyangyu,历史评价（学期未注明）,人文社科学院
ENG2002B,未注明教师,历史评价（学期未注明）,人文社科学院
FIN2010,LIU Hongqi,历史评价（学期未注明）,经管学院
FIN2010,Sung Kwan Lee,历史评价（学期未注明）,经管学院
FIN2010,"Zhao, Shen",历史评价（学期未注明）,经管学院
FIN2020,未注明教师,历史评价（学期未注明）,经管学院
FIN2210,Ye，shuai,历史评价（学期未注明）,经管学院
FIN3080,Jinfan Zhang,历史评价（学期未注明）,经管学院
FIN3080,Sui Pengfei,历史评价（学期未注明）,经管学院
FIN3210,未注明教师,历史评价（学期未注明）,经管学院
FIN3380,chensi,历史评价（学期未注明）,经管学院
FIN3380,chenwen,历史评价（学期未注明）,经管学院
FIN3380,Lu Guangli,历史评价（学期未注明）,经管学院
FIN4060,Wang Jian,历史评价（学期未注明）,经管学院
FIN4060,Xia Sichen,历史评价（学期未注明）,经管学院
FIN4060,"Xiao, Han",历史评价（学期未注明）,经管学院
